,pubmed,abstract
10,38057600,"cellulite is a common esthetic concern affecting most women. despite its prevalence, there is no consensus on the optimal treatment approach for cellulite, partly due to the complex and multifactorial nature of its pathophysiology. understanding the underlying biological processes along with available treatment options is important to be able to effectively counsel patients on effective management of this condition. this review aims to focus on high-quality evidence behind pathophysiology of cellulite, severity and grading, and its available treatment options."
11,38057042,malnutrition is common in older individuals with end-stage renal disease on maintenance dialysis. whether nutritional supplementation may improve skeletal muscle mass (smm) and survival rate in this population is uncertain. we aimed to analyze the effect of a year of nutritional supplementation on muscle mass and survival rate in older patients on hemodiafiltration.
12,38053746,"many studies report poor adherence to sports nutrition guidelines, but there is a lack of research on the effectiveness of nutrition education and behavior change interventions in athletes. some studies among athletes demonstrate that nutrition education (ne), often wrongly confused with nutritional counseling (nc), alone is insufficient to result in behavior change. for this reason, a clear distinction between nc and ne is of paramount importance, both in terms of definition and application. ne is considered a formal process to improve a client's knowledge about food and physical activity. nc is a supportive process delivered by a qualified professional who guides the client(s) to set priorities, establish goals, and create individualized action plans to facilitate behavior change. nc and ne can be delivered both to individuals and groups. to our knowledge, the efficacy of nc provided to athletes has not been comprehensively reviewed. the aim of this study was to investigate the current evidence on the use and efficacy of nutritional counseling within athletes. a systematic literature review was performed based on the preferred reporting items for systematic reviews and meta-analyses method. the search was carried out in: pubmed, scopus, web of science, science direct, cochrane library between november 2022 and february 2023. inclusion criteria: recreational and elite athletes; all ages; all genders; nc strategies. the risk of bias was assessed using the rob 2.0 cochrane tool. the quality of evidence checking was tested with the mixed methods appraisal tool system. from 2,438 records identified, 10 studies were included in this review, with athletes representing different levels of competition and type of sports. the most commonly applied behavior change theory was cognitive behavioral theory. nc was delivered mainly by nutrition experts. the duration of the intervention ranged from 3 weeks to 5 years. regarding the quality of the studies, the majority of articles reached more than 3 stars and lack of adequate randomization was the domain contributing to high risk of bias. nc interventions induced positive changes in nutrition knowledge and dietary intake consequently supporting individual performance. there is evidence of a positive behavioral impact when applying nc to athletes, with positive effects of nc also in athletes with eating disorders. additional studies of sufficient rigor (i.e., randomized controlled trials) are needed to demonstrate the benefits of nc in athletes."
13,38048488,"food insecurity is associated with reduced dietary quality and excess weight gain. however, interventions that are effective for obesity among individuals with food insecurity are unclear. the purpose of this systematic review was to synthesize studies in which authors examined interventions for obesity among adults with food insecurity."
14,38045779,kidney stone disease (ksd) has a lifetime prevalence of up to 14% in the united kingdom. primary and secondary prevention of ksd via dietary intervention is a low-cost public health intervention and remains the best preventative strategy against urolithiasis.
15,38035205,"longitudinal measures of diet spanning pregnancy through adolescence are needed from a large, diverse sample to advance research on the effect of early-life nutrition on child health. the environmental influences on child health outcomes (echo) program, which includes 69 cohorts, >33,000 pregnancies, and >31,000 children in its first 7-y cycle, provides such data, now publicly available."
16,38034903,"nutritional counseling, which includes two-way interactive education, has been hypothesized to improve the health and nutritional status of pregnant women, but little is known about the impact such practice of care might have on maternal and infant health and behavioral outcomes of pregnant women living in low income, low-middle income, and upper-middle-income countries (lmic)s."
17,38088246,"inflammatory low back pain with radiculopathy is suggestive of cancer, infection or inflammatory diseases. we report a unique case of a 42-year-old patient with an acute inflammatory low back pain with bilateral radiculopathy associated with weight loss and abdominal pain, revealing the disintegration of a lead bullet along the epidural space and the s1 nerve root complicated by lead poisoning. because of the high blood lead level of intoxication (>10 times over the usual lead levels) and the failure of repeated lead chelator cycles, a surgical treatment to remove bullet fragments was performed. it resulted in a significant decrease of pain and lead intoxication."
18,38088180,we sought to investigate the safety and feasibility of therapeutic anticoagulation for newly diagnosed venous thromboembolism among women who undergo neoadjuvant chemotherapy for the treatment of advanced ovarian cancer.
19,38087037,"posterolateral (pl)-depression fractures of the tibial plateau are difficult to manage. the aim of this study was: (1) to present our experience with a novel technique of robot-assisted percutaneous reduction and fixation and (2) to compare it with the traditional percutaneous screw osteosynthesis (pso) technique for the treatment of pl-depression tibial plateau fractures. the clinical data of patients with pl-depression tibial plateau fractures treated by robot-assisted percutaneous reduction and fixation technique and traditional pso technique from january 2017 to january 2021 were retrospectively analyzed. among them, there were 18 cases in the robot-assisted group (ra group) and 23 cases in the pso group. all fractures were unilateral, closed and fresh pl-depression fractures of the tibial plateau. patients in the ra group were treated by robot assisted reduction and minimally invasive absorbable screw fixation. the pso group was treated by closed reduction and percutaneous absorbable screw osteosynthesis. the incision length, operation time, intraoperative blood loss, fluoroscopic times, inpatient time, weight training time and postoperative complications of the two groups were statistically analyzed. the rasmussen radiological score was used to assess the reduction quality after operation while the rasmussen functional score was used to evaluate knee joint functions at one year postoperatively. all patients were followed for at least one year. there was no significant difference in demographic information between the two groups (p > 0.05). compared with the pso group, the ra group showed less fluoroscopic times and better rasmussen radiological and functional scores (p < 0.05). besides, there was no significant difference in the incidence of postoperative complications between the two groups (p > 0.05). the novel robot-assisted percutaneous reduction and fixation technique had the characteristics of less radiation, accurate reduction and fixation. it could accelerate the rehabilitation of patients with pl-depression fractures of the tibial plateau and enable patients to obtain good joint functions."
20,38086784,"aging is associated with changes in body composition, and preventing loss of muscle mass and accumulation of excess adipose tissue in middle-aged adults may reduce age-related conditions at older ages. dietary intake is one lifestyle factor shown to improve or maintain body composition. however, few studies have examined the healthy eating index2015 (hei2015), a measure of diet quality, and the association with body composition in adult men and women."
21,38086776,the aim of this study was to discover novel markers underlying the improvement of skeletal muscle metabolism after bariatric surgery.
22,38086713,"the composite material plga compounded with β-tricalcium phosphate (β-tcp) was prepared by melt blending method, and the absorbable interface screw was prepared by injection molding process. prepare pbs buffer that simulates human body, conduct <i>in vitro</i> degradation experiments on interface screws according to relevant national and industry standards, then test and characterize interface screws at different time points for degradation of intrinsic viscosity, average molecular weight distribution, mass loss, mechanical properties and thermal properties. according to the degradation performance-time curve, determine the time node at which the interface screw loses the mechanical properties. in this paper, the <i>in vitro</i> degradation behavior of interfacial screws prepared from plga and β-tcp composites was studied in detail, providing a reference and basis for the degradation behavior of absorbable products prepared from plga and β-tcp composites."
23,38086575,"peripancreatic tuberculosis (ptb) is a very rare variant of tuberculosis and its clinical and radiological findings are similar to those of pancreatic malignancy. diagnosis of ptb is usually incidental and is made after surgical resection. we are presenting a male patient who had complaints of prolonged fever, significant weight loss and yellowish discolouration of eyes and dark-coloured urine. investigations revealed that there was a pancreatic mass causing obstructive jaundice. however, the aetiology of the mass, whether tubercular or malignant, was not clear. hence, the patient was planned for endoscopic ultrasound-guided fine needle aspiration cytology. cytology and aspirate were sent for a cartridge-based nucleic acid amplification test which revealed the presence of <i>mycobacterium tuberculosis</i>, sensitive to rifampicin. the patient improved completely after treatment with antitubercular therapy."
24,38086252,"obesity is a significant public health concern in children. the american academy of pediatrics recommends the use of metabolic and bariatric surgery (mbs) in children with severe obesity, however; mbs remains underutilized in part due to lack of access. this study aims to characterize the prevalence of pediatric obesity and compare this to regional pediatric mbs provider availability."
25,38086241,"conventional topoisomerase (topo) inhibitors typically usually exert their cytotoxicity by damaging the dnas, which exhibit high toxicity and tend to result in secondary carcinogenesis risk. molecules that have potent topoisomerase inhibitory activity but involve less dna damage provide more desirable scaffolds for developing novel chemotherapeutic agents. in this work, we broke the rigid pentacyclic system of luotonin a and synthesized thirty-three compounds as potential topo inhibitors based on the devised molecular motif. further investigation disclose that two compounds with the highest antiproliferation activity against cancer cells, 5aa and 5dd, had a distinct topo i inhibitory mechanism different from those of the classic topo i inhibitors cpt or luteolin, and were able to obviate the obvious cellular dna damage typically associated with clinically available topo inhibitors. the animal model experiments demonstrated that even in mice treated with a high dosage of 50 mg/kg 5aa, there were no obvious signs of toxicity or loss of body weight. the tumor growth inhibition (tgi) rate was 54.3 % when 20 mg/kg 5aa was given to the t24 xenograft mouse model, and 5aa targeted the cancer tissue precisely without causing damage to the liver and other major organs."
26,38087957,to evaluate the association between race and the named etiology for inadequate weight gain among hospitalized infants and assess the differences in management.
27,38087441,"to investigate temporal changes in glycaemic control and weight contributing to insulin resistance (ir), in thai individuals with type 1 diabetes (t1d)<b>.</b>"
28,38086922,"the prevalence of obesity and associated chronic diseases continues to increase worldwide, negatively impacting on societies and economies. whereas the association between excess body weight and increased risk for developing a multitude of diseases is well established, the initiating mechanisms by which weight gain impairs our metabolic health remain surprisingly contested. in order to better address the myriad of disease states associated with obesity, it is essential to understand adipose tissue dysfunction and develop strategies for reinforcing adipocyte health. in this review we outline the diverse physiological functions and pathological roles of human white adipocytes, examining our current knowledge of why white adipocytes are vital for systemic metabolic control, yet poorly adapted to our current obesogenic environment."
29,38086826,"the reduction of nitrogen (n) and phosphorus (p) in fattening pigs' diets is one possible approach to lower n and p excretion in livestock farming relative to n and p intake. due to the implementation of the european nitrates directive and the consecutive amendments to the german fertiliser legislation since 2017, <i>n</i>- and <i>p</i>-reduced diets for fattening pigs are becoming more and more important and are increasingly used in practice. to investigate the effects of such diets on n and p balance and retention as well as on nutrient digestibility of contemporary fattening pigs, a balance experiment was performed with eight barrows (average live weight = 61.5 ± 2.1 kg) which were surgically fitted with a simple t-cannula at the terminal ileum. the pigs received a control diet meeting nutrient requirements (con) and an <i>n</i>- and <i>p</i>-reduced diet (npred) <i>ad libitum</i> (<i>n</i> = 4/diet) in a 3-phased feeding regimen (3 weeks/phase). in the last week of each phase, faeces and urine were collected quantitatively for 5 days followed by a 2 × 12 hours collection of ileal digesta. daily feed intake, live weight gain and feed-to-gain ratio did not differ between con and npred. npred-fed pigs consumed 10.5% (<i>p</i> = 0.006) and excreted 28.3% (<i>p</i> = 0.028) less n than con-fed pigs. phosphorus excretion was lowered by 15.1% in npred-fed pigs (<i>p</i> = 0.012). n and p retention did not differ between con and npred, but were elevated in comparison to other studies. n and p efficiency, expressed as nutrient retention divided by nutrient intake, was higher in npred - than con-fed pigs (n: 68 vs 60%, p: 54.2 vs 49.3%). apparent post-ileal digestibility coefficient (dc<sub>post-ileal</sub>) and apparent total tract digestibility coefficient (dc<sub>total</sub>) of crude protein were higher in npred - than con-fed pigs (<i>p</i> < 0.013), but apparent precaecal digestibility coefficient (dc<sub>pc</sub>) of crude protein was unaffected by diet. dc<sub>pc</sub>, dc<sub>post-ileal</sub> and dc<sub>total</sub> of p were similar for con- and npred-fed pigs. npred-fed pigs showed an elevated dc<sub>pc</sub> and dc<sub>total</sub> of organic matter, n-free-extractives and starch compared to con-fed pigs. dc<sub>pc</sub> of calcium was also higher in npred-fed pigs. in conclusion, the results suggest that <i>n</i>- and <i>p</i>-reduced feeding of fattening pigs remains an effective strategy to lower the n and p release into the environment. furthermore, results indicate that <i>n</i>- and <i>p</i>-reduced feeding leads to a higher n and p efficiency in contemporary fattening pigs."
30,38086615,it is crucial to reduce the high sugar content of fruit yoghurts in response to the excessive weight gain epidemic. the use of alternative sweeteners in yoghurts is often associated with the negative sensory attributes that can have an impact on yoghurt liking. the main objective of this research was to investigate the effect of alternative sweeteners and strawberry puree addition on the temporal sensory profile of yoghurt using multiple-intake temporal check all that apply (tcata). a novel approach to the statical analysis of the temporal sensory data was employed by using aligned rank transformation (art)-anova to investigate the differences between sensory attributes within different product and within different intakes.
31,38086441,"environmental chemicals, such as plasticizers, have been linked to increased rates of obesity, according to epidemiological studies. acetyl triethyl citrate (atec) is a plasticizer that is commonly utilized in pharmaceutical products and food packaging as a non-phthalate alternative. due to its direct contact with the human body and high leakage rate from the polymers, assessment of the potential risk of atec exposure at environmentally relevant low doses to human health is needed. male c57bl/6 j mice were fed diets containing atec at doses of either 0.1 or 10 μg/kg per day in a period of 12 weeks to mimic the real exposure environment. the findings suggest that in c57bl/6 j mice, atec exposure resulted in increased body weight gain, body fat percentage, and benign hepatocytes, as well as adipocyte size. consistent with in vivo models, atec treatment obviously stimulated the increase of intracellular lipid load in both mouse and human hepatocytes. mechanically, atec induced the transcriptional expression of genes involved in de novo lipogenesis and lipid uptake. using both enzyme inhibitor and small interfering rna (sirna) transfection, we found that stearoyl-coenzyme a desaturase 1 (scd1) played a significant role in atec-induced intracellular lipid accumulation. this study for the first time provided initial evidence suggesting the obesogenic and fatty liver-inducing effect of atec at low doses near human exposure levels, and atec might be a potential environmental obesogen and its effect on human health need to be further evaluated."
32,38086432,"many of the adverse outcomes of gestational diabetes are linked to excessive fetal growth which is strongly mediated by the adequacy of maternal glycaemic control. the covid-19 pandemic led to a rapid adoption of virtual care models. we aimed to compare glycaemic control, fetal growth, and perinatal outcomes before and during the covid-19 pandemic."
33,38086169,"during the perimenopause, estrogen concentrations gradually decrease, and this is associated with changes to women's energy expenditure and intake. these changes result in weight gain and altered body fat distribution, with increased abdominal fat deposition and cardiometabolic risk via insulin resistance. body composition analysis is a useful clinical tool in outpatient settings, as it is simple, not expensive and provides information on body mass index, skeletal mass, fat mass, fat percentage and basal metabolic rate. this review discusses body composition analysis as part of a health assessment for healthy women during the perimenopause and investigates the associations between body composition and cardiometabolic profile."
34,38085408,"eating disorders frequently accompany autism spectrum disorder (asd). one such novel eating disorder is avoidant/restrictive food intake disorder (arfid). this study compares the eating attitudes, quality of life, and sensory processing of typically developing children (tdc), autistic children, and autistic children with arfid. a total of 111 children aged 4-10 with a diagnosis of asd and arfid (n = 37), asd without arfid (n = 37), and typical development (n = 37) were recruited. after an interview in which childhood autism rating scale (cars) was administered, child eating behavior questionnaire (cebq), pediatric quality of life inventory (pedsql), social responsiveness scale (srs) and sensory profile (sp) were completed by caregivers. autistic children with arfid had higher scores in cebq subscales relating to low appetite and lower scores on the subscales associated with weight gain. both groups of autistic children scored lower than tdc on all pedsql subscales and autistic children with arfid had lower social ql scores than both groups. srs scores were highest in autistic children with arfid, followed by autistic and typically developing children. cars scores were similar in both groups of autistic children, but higher than tdc. auditory, vision, touch, multi-sensory, oral processing scores; as well as all quadrant scores, were significantly lower in autistic children with arfid. oral sensory processing scores were found to be the most significant predictor of arfid comorbidity in asd and reliably predicted arfid in autistic children in the clinical setting. autistic children with arfid demonstrate differences in social functioning, sensory processing, eating attitudes, and quality of life compared to autistic and td children."
35,38088132,"octreotide lar is a long-acting somatostatin analogue (ssa) used in the management of metastatic gastroenteropancreatic neuroendocrine tumors (gep nets). it requires intramuscular (im) injection. missed im injections cause subcutaneous nodules (scns) on radiologic images. we reviewed the rates of scns in a real-world cohort of gep nets receiving octreotide lar and explored treatment outcomes. patients commencing octreotide lar between august 5, 2010 and march 8, 2018 at a single cancer center in canada were identified from pharmacy records. patients were included if they had a computed tomography (ct) scan performed at the time of progression and a preceding ct with pelvis included to enable assessment for the presence of nodules. fisher's exact test was used to examine predictors of scns, and kaplan-meier curves summarized differences in progression free (pfs) and overall survival (os) that were compared with log-rank tests. of 243 patients receiving octreotide lar, 45 had all required ct images available for central review. scns were found in 20/45 (44%) of patients on the last scan showing stable disease before progression and were numerically but not statistically more likely in females (or: 2.36, 95% ci: 0.66-8.29, p = .23). there was an increased risk of scns in patients with a skin-to-muscle distance >38 mm (the length of an octreotide lar needle) on ct (or: 5.09, 95% ci: 1.39-16.6, p = .018) and a trend toward increased risk in obese patients (or: 5.71, 95% ci: 1.26-23.4, p = .061). pfs (hr: 1.01, 95% ci: 0.56-1.78, p = .98) and os (hr: 0.86, 95% ci: 0.41-1.8, p = .70) was similar between those with/without scns. in conclusion, almost half of patients receiving octreotide lar had scns; however, missed administration of ssa did not appear to result in worse survival in this small study. factors such as sex, younger age skin-to-muscle distance, and obesity may affect scn development and should be considered when choosing an ssa."
36,38088108,"aim    to study the relationship of blood serum concentration of endocan with indexes of apoptosis and clinical and instrumental characteristics of patients with ischemic heart disease (ihd).material and methods    the study included 176 subjects (105 men and 71 women). 150 of them were diagnosed with ihd and 26 were healthy volunteers. anthropometric measurements, coronary angiography, echocardiography, duplex ultrasound scanning of extracranial parts of the brachiocephalic arteries were performed for all patients. concentrations of endocan (ng / ml), glucose (mmol / l), and apoptotic markers bcl-2 (ng / ml), bax (ng / ml), bcl-2 / bax, trail (pg / ml), and p53 (ng / ml) were measured in blood serum. patients were divided into groups based on their syntax scores: group 1 with moderate atherosclerotic lesions of the coronary arteries (ca) (score &lt; 22, 78 patients); group 2 with severe ca atherosclerosis (score 23-32, 37 patients); and group 3 with extremely severe ca lesions (score &gt;33, 35 patients). the control group consisted of healthy volunteers (26 subjects). all groups were age- and sex-matched. differences were considered statistically significant at p&lt;0.05.results    a correlation was found between endocan concentration and ihd severity (r=0.32, p&lt;0.001). in group 1, the median endocan concentration was 14.57 ng / ml [8.21; 23.66], in group 2, 19.34 ng / ml [8.425; 26.645], in group 3, 32.13 ng / ml [18.2; 39.12], and in the control group, 6.92 ng / ml [4.62; 9.18]. correlations of varying strength and significance were observed between the endocan concentration and a number of clinical and instrumental characteristics. endocan concentrations significantly differed in groups of patients with multifocal atherosclerosis (p&lt;0.01), angina pectoris (p&lt;0.01), a history of myocardial infarction (p&lt;0.001), and obesity (p&lt;0.05) from patients without these signs. also, a correlation was found between serum endocan concentration and apoptotic markers: trail (r= -0.448, p&lt;0.001); bcl-2 (r= -0.552, p&lt;0.001), bax (r= -0.519, p&lt;0.001), bcl-2 / bax (r= -0.576, p&lt;0.001) and p53 (r= -0.520, p &lt;0.001).conclusion    the study demonstrated a potential role of endocan as a promising biomarker for risk stratification, prognosis and therapeutic monitoring of ihd patients."
37,38088098,"the covid-19 pandemic is still an unresolved situation in thailand and worldwide at large. the purpose of this study was to interpret the impacts of covid-19 on the management of ankle fractures and their outcomes. a systematic search and review were performed in accordance with the prisma guideline based on the pubmed database. the search terms were 'ankle fracture' and 'covid'. from an initial search, a total of 29 abstracts were found and screened in accordance with the eligibility criteria. then, five articles were considered eligible papers for further review. this review investigated a total of 16,813 patients with ankle fractures, including 215 patients (1.27%) who were also covid-19-positive. according to our results, the incidence of ankle fractures showed a decrease during the pandemic. however, covid-positive ankle fracture patients demonstrated a higher prevalence of comorbidities, including chronic kidney disease, diabetes, hypertension, and obesity. covid-19 infection was a factor that delayed the operation and increased the length of hospital stay and adverse effects from the surgery. covid-19 infection affected the management of ankle fractures and their outcomes in terms of negative impacts such as delayed operation, increased length of hospital stay, and increased adverse effects from the surgery. outpatient surgery was recommended to solve some of these problems."
38,38087928,"pediatric obesity is characterized by insulin resistance, yet it remains unclear whether insulin resistance contributes to abnormalities in glucagon and incretin secretion."
39,38087869,"diabetic cardiomyopathy is a serious complication of obesity with type 2 diabetes and is a major cause of mortality. metabolic surgery, such as duodenal-jejunal bypass (djb), can effectively improve diabetic cardiomyopathy; however, the underlying mechanisms remain elusive. oxidative stress is one of the pivotal mechanisms of diabetic cardiomyopathy. our objective was to investigate the effect and potential mechanisms of djb on oxidative stress in the heart of diabetic cardiomyopathy rats."
40,38087862,"weight bias toward patients in larger bodies is pervasive among health care providers and can negatively influence provider-patient communication, as well as patients' behavior and health outcomes. weight bias has historical roots that perpetuate thinness and whiteness as the cultural norm. although weight bias remains socially acceptable in us culture, contributing factors to an individual's body size are complex and multifactorial. providers and health care systems also consistently use body mass index (bmi) as an indicator of health status, despite its limitations and harmful effects in the clinical setting. this state of the science review presents 8 evidence-based strategies that demonstrate how to mitigate harm from weight bias and improve quality of care and health outcomes for patients living in larger bodies. person-centered approaches to care include (1) eliminating clinical recommendations to lose weight; (2) shifting from a focus on weight to health; (3) implementing a size and weight-inclusive approach; (4) engaging in weight bias self-evaluation; (5) creating a welcoming environment for patients of all sizes; (6) seeking permission and learning the patient's story; (7) using weight-inclusive language; and (8) re-evaluating clinical guidelines and policies based on bmi. midwives and other health care providers may benefit from training that re-imagines the delivery of health care to patients in larger bodies."
41,38087786,"the last guidelines for pediatric obesity were released in 2004 by indian academy of pediatrics (iap). since then, there has been an alarming increase in prevalence and a significant shift in our understanding in the pathogenesis, risk factors, evaluation, and management of pediatric obesity and its complications. thus, it was decided to revise and update the previous recommendations."
42,38087724,"cardiometabolic disease (cmd) is increasing along with its predisposing factors and adverse consequences. as gut microbiota dysbiosis is established in these patients, fecal microbiota transplantation (fmt), which alters the bacterial composition of the intestine, supposedly can help improve cardiometabolic disturbances. we conducted a systematic review and meta-analysis evaluating the impact of fmt on the cardiometabolic parameters and gut microbiota composition of patients experiencing at least one cardiometabolic issue."
