,pubmed,abstract
10,38088231,"a significant percentage of patients who survived the coronavirus infection disease 2019 (covid-19) showed persistent general and respiratory symptoms even months after recovery. this condition, called post-acute sequelae of covid-19 or long-covid syndrome (lcs), has been described also in children with positive history for severe acute respiratory syndrome coronavirus 2 (sars-cov-2) infection. little is known about the pathophysiologic mechanisms underlying this syndrome. the aim of this study was to investigate any difference between children with lcs and asymptomatic peers with previous covid-19 in terms of lung function and lung ultrasound (lus) patterns. secondly, we tested associations between lung function abnormalities and lus findings with long-covid."
11,38087222,"pertussis and influenza cause significant morbidity and mortality in pregnancy and the neonatal period. maternal vaccination in pregnancy would reduce harm, but low vaccine uptake is a concern. this scoping review aimed to understand the reasons for, and approaches, to non-uptake of pertussis and influenza vaccinations in pregnant women in the uk and ireland."
12,38087014,"traditionally, the clinical evaluation of respiratory diseases was pulmonary function testing, which can be used for the detection of severity and prognosis through pulmonary function parameters. however, this method is limited by the complex process, which is impossible for patients to monitor daily. in order to evaluate pulmonary function parameters conveniently with less time and location restrictions, cough sound is the substitute parameter. in this paper, 371 cough sounds segments from 150 individuals were separated into 309 and 62 as the training and test samples. short-time fourier transform (stft) was applied to transform cough sound into spectrogram, and resnet50 model was used to extract 2048-dimensional features. through support vector regression (svr) model with biological attributes, the data were regressed with pulmonary function parameters, fev1, fev1%, fev1/fvc, fvc, fvc%, and the performance of this models was evaluated with fivefold cross-validation. combines with deep learning and machine learning technologies, the better results in the case of small samples were achieved. using the coefficient of determination (r<sup>2</sup>), the resnet50 + svr model shows best performance in five basic pulmonary function parameters evaluation as fev1(0.94), fev1%(0.84), fev1/fvc(0.68), fvc(0.92), and fvc%(0.72). this resnet50 + svr hybrid model shows excellent evaluation of pulmonary function parameters during coughing, making it possible to realize a simple and rapid evaluation for pneumonia patients. the technology implemented in this paper is beneficial in judge the patient's condition, realize early screening of respiratory diseases, evaluate postoperative disease changes and detect respiratory infectious diseases without time and location restrictions."
13,38084167,"background coronaviruses are viral agents that commonly infect animals, but have the ability to cause respiratory illness in humans, exemplified by the ongoing novel coronavirus outbreak (covid-19). due to the sparse literature on the effects of covid-19 on the respiratory system, and the possible development of persistent asthma-like symptoms after infection, this cross-sectional analysis was performed in order to compare the clinical and investigative parameters between post-covid patients and asthmatic patients. methods a retrospective cross-sectional study was conducted on patients with prior history of covid-19 infection that presented to the pulmonology or respiratory outpatient clinics with asthma-like symptoms and were subsequently compared to known asthmatic patients with absent history of prior covid-19 infection, in order to evaluate the degree of similarity between both cohorts. in this study, asthma-like symptoms were defined as: (i) cough, (ii) wheezing, (iii) chest tightness, and (iv) shortness of breath. moreover, comparisons of investigative parameters were also performed, including (i) fractional exhaled nitric oxide (feno), (ii) serum immunoglobulin e (ige), (iii) absolute eosinophil counts, and (iv) qualitative spirometry results. all statistical analyses were conducted via chi-squared testing for categorical variables, and independent t-test for continuous variables. results in this study, there were a total of 76 patients included that conformed to the eligibility criteria, including 39 patients with post-covid symptoms with absent history of asthma or other respiratory illnesses, and 37 patients with known asthma with absent history of prior covid-19 infection or other respiratory illnesses. overall, this study revealed the similarities between both cohorts with respect to the incidence of cough, chest tightness, and shortness of breath. moreover, there were similarities between the serum ige and spirometry results. however, there were differences within the complaint of wheeze, feno values, and eosinophil counts between both cohorts. the placement of post-covid patients on bronchodilator therapy involving inhaled corticosteroids and long-acting beta-agonists revealed improvement in all follow-up patients. conclusion in conclusion, there was considerable similarity in the complaint of asthma-like symptoms after covid-19 infection, associated with an improvement after the use of bronchodilator therapy, indicating the potential role of anti-asthma therapy (e.g., bronchodilator therapy) in managing post-covid asthma-like symptoms. in order to validate our conclusion, further comprehensive studies with robust methodologies and larger sample populations are encouraged."
14,38083528,"pneumonia is one of the leading causes of morbidity and mortality in children. this is especially true in resource poor regions lacking diagnostic facilities, bringing about the need for rapid diagnostic tests for pneumonia. cough is a common symptom of acute respiratory diseases, including pneumonia, and the sound of cough can be indicative of the pathological variations caused by respiratory infections. as such, in this paper we study objective cough sound evaluation for differentiating between pneumonia and other acute respiratory diseases. we use a dataset of 491 cough sounds from 173 children diagnosed either as having pneumonia or other acute respiratory diseases. we extract features which describe the temporal, spectral, and cepstral characteristics of the cough sound. these features are combined with feature embeddings from a pretrained deep learning network and used to train a multilayer perceptron for classification. the proposed method achieves a sensitivity and specificity of 84% and 73% respectively in differentiating between pneumonia and other acute respiratory diseases using cough sounds alone."
15,38083513,"the severe acute respiratory syndrome coronavirus 2 (sars-cov-2) infection is fast becoming one of the most significant infections worldwide. of all the causes of sars-cov-2 infection, airborne-droplet infection via coughing is the most common. therefore, if predicting the onset of a cough and preventing infection were possible, it would have a globally positive impact. here, we describe a new prediction and prevention system for sars-cov-2 infection. usually, air is inhaled prior to coughing, and the cough, which contains droplets of the virus, then occurs during acute exhalation. therefore, if we can predict the onset of a cough, we can prevent the spread of sars-cov-2. at tohoku university, a diagnosis system for evaluating swallowing motions and peripheral circulation has already been developed, and our prediction system can be integrated into this system. using three-dimensional human body imaging, we developed a prediction system for preempting the onset of a cough. if we can predict the onset a cough, we can prevent the spread of sars-cov-2 infection, by decreasing the shower of virally active airborne droplets. here, we describe the newly developed prediction and prevention system for sars-cov-2 infection that preempts the onset of a cough.clinical relevance- if predicting the onset of a cough and preventing infection were possible, it would have a globally positive impact. here, we describe the newly developed prediction and prevention system for sars-cov-2 infection."
16,38088021,"vanillin is a flavouring agent that is prohibited for use in infant food products with ages lower than 6 months. excessive vanillin usage could lead to eating disorders, nausea, headache, and vomiting. therefore, it is essential to control the contents of vanillin in food samples, especially in infant formula. here, we developed a highly sensitive nanosensor for vanillin based on using green synthesized highly fluorescent (qy = 29.5%) n-doped carbon quantum dots (n-cqds) as a turn-off fluorescent nanoprobe. the n-doped cqds synthesis was adopted using citrus bulb squeeze extract and the commonly used fertilizer, urea, as substrates. after mixing with vanillin, the fluorescence of the n-cqds was largely quenched in a vanillin concentration-dependent manner. the sensing conditions were optimized by quality-by-design using a two-level full factorial design (2<sup>2</sup> ffd). the n-doped cqds could detect vanillin in the range 0.1-12.0 μg/ml with a limit of detection of 0.013 μg/ml. next, a smartphone imaging-based assay combined with a uv chamber was adopted and applied for vanillin determination. this simple detection technique showed sensitivity similar to that of the conventional fluorimetric method. both conventional and smartphone-based methods were successfully applied for the determination of vanillin in infant milk formula and biscuits and could detect real vanillin concentrations in the analyzed samples with high % recoveries (94.5% to 105.5%). at last, the biocompatibility of the newly synthesized n-cqds was tested, and it was found to be an excellent candidate for cancer cell imaging."
17,38087895,to evaluate differences in emergency department (ed) utilization and quality of care for migraine in patients with rural and nonrural residences.
18,38087366,"chronic migraine, a highly disabling migraine subtype, affects nearly 2% of the general population. understanding migraine chronification is vital for developing better treatment and prevention strategies. an important factor in the chronification of migraine is the overuse of acute headache medication. however, the mechanisms behind the transformation of episodic migraine to chronic migraine and vice versa have not yet been elucidated. we performed a longitudinal epigenome-wide association study to identify dna methylation (dnam) changes associated with treatment response in patients with chronic migraine and medication overuse as part of the chronification and reversibility of migraine clinical trial. blood was taken from patients with chronic migraine (n = 98) at baseline and after a 12-week medication withdrawal period. treatment responders, patients with ≥ 50% reduction in monthly headache days (mhd), were compared with non-responders to identify dnam changes associated with treatment response. similarly, patients with ≥ 50% versus < 50% reduction in monthly migraine days (mmd) were compared."
19,38087345,"colorectal neoplasms are one of the deadliest diseases among all cancers worldwide. thymoquinone (tq) is a natural compound of nigella sativa that has been used in traditional medicine against a variety of acute/chronic diseases such as asthma, bronchitis, rheumatism, headache, back pain, anorexia, amenorrhea, paralysis, inflammation, mental disability, eczema, obesity, infections, depression, dysentery, hypertension, gastrointestinal, cardiovascular, hepatic, and renal disorders. this review aims to present a detailed report on the studies conducted on the anti-cancer properties of tq against colorectal cancer, both in vitro and in vivo. tq stands as a promising natural therapeutic agent that can enhance the efficacy of existing cancer treatments while minimizing the associated adverse effects. the combination of tq with other anti-neoplastic agents promoted the efficacy of existing cancer treatments. further research is needed to acquire a more comprehensive understanding of its exact molecular targets and pathways and maximize its clinical usefulness. these investigations may potentially aid in the development of novel techniques to combat drug resistance and surmount the obstacles presented by chemotherapy and radiotherapy."
20,38087219,"headache disorders are a global public health concern affecting diverse populations. this review examines headache service organizations in low-, middle-, and high-income countries. it addresses global challenges in pharmacological headache treatment, with a focus on safety, tolerability, reproductive and child health, and outlines disparities in accessing innovative treatments worldwide."
21,38086858,"cervicogenic headache is an often observed secondary headache in clinical settings, with patients who endure prolonged and persistent pain being particularly susceptible to mood changes. currently, the mulligan is one of the effective methods for ceh. however, there is a lack of evaluation about the strength and frequency of headaches, as well as the assessment of pain-induced emotions, in individuals with ceh using this particular procedure. herein, we aimed to evaluate the effectiveness of the mulligan maneuver from a multidimensional perspective of pain intensity and mood. a total of forty patients diagnosed with ceh who satisfied the specified inclusion criteria were recruited and allocated randomly into two groups: the control group and the treatment group, with each group consisting of twenty cases. the control group received health education, while the treatment group received the mulligan maneuver once daily over a course of 10 treatment sessions.the clinical outcome of patients with ceh in two groups was assessed using the visual analog scale (vas), hamilton anxiety scale (hama), and hamilton depression scale (hamd). resting-state functional magnetic resonance imaging was employed to examine variations in brain function activities between the two ceh groups. brain regions showing differences were identified as regions of interest and subsequently correlated with clinical behavioral measures using pearson's correlation analysis. the differences in vas, hama and hamd between the two groups of ceh patients were also statistically significant. the brain regions that showed differences in the reho scores between the two groups of ceh patients included the left cerebellum, the frontal gyrus, and the middle temporal gyrus. there was a positive correlation between the left frontal gyrus and vas, hama and hamd. the left middle temporal gyrus had a negative correlation with vas, hama, and hamd and the left cerebellum had a positive correlation with vas correlation. the mulligan maneuver may improve pain levels and have a moderating effect on pain-related negative emotions by regulating the function of relevant brain regions in ceh patients."
22,38085902,"the journey for a patient with a brain tumor and their loved ones can be extremely challenging due to the high burden of physical symptoms and the emotional distress caused by the diagnosis. optimizing quality of life by addressing symptoms and reducing this emotional distress can improve treatment tolerance and outcomes and alleviate care partner distress and burden. symptoms in patients with central nervous system (cns) tumors can vary in onset and intensity, ranging from headaches, seizures, and focal weakness to emotional distress and cognitive dysfunction. additionally, care partners may demonstrate distress due to the high burden of care and need appropriate support structures and access to resources to alleviate this stress. evidence-based recommendations are unfortunately limited given the lack of high-quality research in this area, but patients living with cns tumors and their loved ones can benefit from early and routine symptom identification and management, compassionate and transparent communication, and practical guidance for the future. these principles are part of palliative care, a field of medicine focused on alleviating suffering in patients with serious, chronic illness. clinicians involved in the care of patients with cns tumors must be educated in these important primary palliative care principles. this article focuses on key symptom management, strategies for high-quality communication, a discussion of advance care planning, and an overview of end-of-life care."
23,38085567,"headache disorders are common, debilitating health problems. cognitive-behavioral therapy (cbt) is recommended but rarely easily available. with the use of the internet and communication technologies among youth and young adults, these individuals could be self-trained in cbt skills. there is an increasing number of internet-based interventions for headaches, but there has been little research into the usability of these interventions because evaluating usability across the intervention development life cycle is costly. we developed an internet-based cbt program, the specialized program for headache reduction (sphere). while developing it, we aimed to improve sphere through rapid usability testing cycles."
24,38087849,"the objective of this study was to assess the clinical significance of the bow and lean test (blt) for the diagnosis of different variants of vertical canal benign paroxysmal positional vertigo (bppv). blt is commonly used for diagnoses of lateral semicircular canal (lsc) bppv. however, vertical nystagmus in the blt may indicate the presence of other variants such as psc-bppv."
25,38087488,"primary sjogren's syndrome (pss) is an autoimmune connective tissue disorder with multisystem manifestations. we here report a previously healthy woman who presented with autonomic dysfunction in the form of severe dizziness without any apparent sensory neuropathy. detailed history and examination revealed the signs and symptoms of sjogren's syndrome such as constipation and dry eyes and mouth, following which anti-ssa and ssb antibodies were found to be positive. finally, a diagnosis of pss was established after ruling out all the other causes of autonomic dysfunction in addition to the clinical and laboratory evidence. the patient was treated with the maximum doses of midodrine and fludrocortisone, yet no progress was noticed. hence, a trial of steroids was started and she showed a significant clinical improvement. our patient presented with pure autonomic failure associated with sjogren's syndrome, making it an extremely rare entity."
26,38082826,"this work utilises the strength of state space based dynamic modelling and the ability of machine learning based segmentation of srm standard descriptors to reach superior diagnostic capabilities. dynamic modelling ensured vhit input-output characteristics generated srm standard descriptors, which were consequently used in formation of ml classification models.the best ml model was linear svm when built on left and right sided data with the srm standard descriptors: rise time, settling time, settling minimum, settling maximum, overshoot and undershoot. the model was able to classify individuals to patient or control groups with an accuracy of 100% and a sensitivity and specificity of 1.clinical relevance- dizziness is one of the most common presentations to family physicians and emergency departments. it is associated with significant medical complications such as falls as well as economic costs to both the individual and the community. vestibular diseases comprise the bulk of dizzy disorders and are often associated with dysfunction of the vestibular or inner ear balance apparatus. this is most commonly the result of hypo-function of the semi-circular canals. clinically, the most commonly employed objective test of semicircular function is the video head impulse test (vhit). here we provide a machine learning approach to a more comprehensible and accurate interpretation of the results obtained by the vhit to more robustly establish the presence and severity of vor dysfunction, and ultimately aid in the diagnosis of vestibular disorders."
27,38082481,determine levels of catastrophizing in patients with vestibular disorders and prospectively evaluate their relationship with patient-reported outcome measures.
28,38079609,"dizziness is a common medical symptom that is frequently misdiagnosed. while virtual patient (vp) education has been shown to improve diagnostic accuracy for dizziness as assessed by vps, trainee performance has not been assessed on human subjects. the study aimed to assess whether internal medicine (im) interns after training on a vp-based dizziness curriculum using a deliberate practice framework would demonstrate improved clinical reasoning when assessed in an objective structured clinical examination (osce)."
29,38078494,"this is an updated version of a cochrane review last updated in 2020. epilepsy is a common neurological disorder, affecting 0.5% to 1% of the population. in nearly 30% of cases, epilepsy is resistant to currently available drugs. pharmacological treatment remains the first choice to control epilepsy. lamotrigine is a second-generation antiseizure medication. when used as an add-on (in combination with other antiseizure medications), lamotrigine can reduce seizures, but with some adverse effects."
30,38077923,"covid-19 is primarily classified as a respiratory disorder; however, various neurological symptoms have been reported in covid-19 patients. neurological manifestations may be the initial signs of covid-19 and can develop in patients of different age groups and with or without underlying disease. covid-19 causes a broad range of complications in the central nervous system. these include headaches, altered mental status, dizziness, seizures, cerebrovascular events, encephalitis, and other encephalopathies. moreover, a broad spectrum of peripheral nervous system symptoms such as olfactory and gustatory dysfunctions, neuropathy, visual impairments, neuralgia, cranial nerves palsy, and muscle involvement could manifest as symptoms. despite various efforts, the exact pathogenesis of the covid-19 neurological complications has not been clarified yet. moreover, the reason for the development of neurological manifestation in only some covid-19 patients has not been determined. this review focuses on the different neurological symptoms associated with covid-19 and the possible pathological mechanisms hoping to provide new insights for diagnosis, therapies, or other forms of intervention."
31,38077842,"ocular flutter (of) is a rare oculomotor syndrome. the most common etiologies are paraneoplastic, postinfectious and toxic-metabolic. however post-vaccinal etiology was rarely reported in of. here, we reported a post-vaccinal clinical syndrome characterized by of-myoclonus and ataxia associated with oligoclonal bands (ocbs). a 60-year-old male who presented with dizziness, unsteady gait, involuntary movements, involuntary conjugate eye oscillations and extremity jerks that started 3 days after the second dose of mrna bnt162b2 covid-19 vaccine. routine biochemical and serological analysis were within normal limits. no pathological finding was detected in brain mri. paraneoplastic and autoimmune encephalitis tests were unremarkable in cerebrospinal fluid (csf). oligoclonal bands were positive in csf. this is the first description of the relationship between vaccines against sars-cov-2 and the clinical syndrome of of, myoclonus and ataxia (ofmas). humoral immune mechanisms seem to play an important role in ofmas. presence of ocbs in csf may also be associated with this condition."
32,38076248,"vestibular hypofunction is associated with dizziness, imbalance, and blurred vision with head movement. vestibular rehabilitation is the gold standard recommendation to decrease symptoms and improve postural stability. the clinical practice guidelines for vestibular hypofunction suggest home exercises 3-5 times daily, but patient adherence is a problem, with compliance rates often below 50%."
33,38087996,orofacial function is believed to influence an individual's diet. knowledge on appetite and enjoyment of eating in orofacially impaired individuals is scarce.
34,38087218,"transversus abdominis plane (tap) block has been utilized to alleviate pain following laparoscopic cholecystectomy (lc). however, the optimal timing of administration remains uncertain. this study aimed to compare the efficacy of pre-operative and postoperative tap blocks as analgesic options after lc."
35,38086998,"imaradenant is a novel potent and selective adenosine a2a receptor antagonist that is hypothesized to reduce immune suppression in the tumor microenvironment. this phase i, open-label, dose-escalation study evaluated the safety, pharmacokinetics, and anti-tumor activity of imaradenant."
36,38086194,"different studies using aprepitant, a nk1r antagonist currently used as a clinical drug for treating chemotherapy-related nausea and vomiting, have demonstrated that pharmacological inhibition of nk1r effectively reduces the growth of several tumor types such as neuroblastoma (nb). in a previous work, we demonstrated that a series of carbohydrate-based aprepitant analogs, derived from either d-galactose or l-arabinose, have shown high affinity and nk1r antagonistic activity with a broad-spectrum anticancer activity and an important selectivity. in this new study, we explore the selective cytotoxic effects of these derivatives for the treatment of nb. furthermore, we describe the design and stereoselective synthesis of a new generation of d-glucose derivatives as aprepitant analogs, supported by docking studies. this approach showed that most of our carbohydrate-based analogs are significantly more selective than aprepitant. the galactosyl derivative 2α, has demonstrated a marked in vitro selective cytotoxic activity against nb, with ic<sub>50</sub> values in the same range as those of aprepitant and its prodrug fosaprepitant. interestingly, the derivative 2α has shown similar apoptotic effect to that of aprepitant. moreover, we can select the glucosyl amino derivative 10α as an interesting hit exhibiting higher in vitro cytotoxic activity against nb than aprepitant, being 1.2 times more selective."
37,38085848,"postoperative ileus (poi) is a complication that may occur after abdominal or non-abdominal surgery. intravenous dexmedetomidine has been reported to accelerate postoperative gastrointestinal function recovery; however, updated evidence is required to confirm its robustness."
38,38084575,"paediatric male circumcision is a painful surgical procedure, which is usually carried out under general anaesthesia. regional analgesic techniques, including dorsal penile nerve block (dpnb) and caudal nerve block (cnb), are superior to opioid and non-opioid systemic analgesia for postoperative pain control after circumcision."
39,38083234,"transcutaneous auricular vagus nerve stimulation (tavns) is a novel neuromodulation application for vagal afferent stimulation. owing to its non-invasive nature, tavns is a potent therapeutic tool for a diverse array of diseases and disorders that ail us. herein, we investigated tavns-induced effects on neural activity of participants during visually induced motion sickness. 64-channel electroencephalography (eeg) recordings were obtained from 15 healthy participants in a randomized, within-subjects, cross-over design during sham and tavns conditions. to assess motion sickness severity, we used the motion sickness assessment questionnaire (msaq). we observed that tavns attenuated theta (4-8 hz) brain activity in the right frontal, right parietal and occipital cortices when compared to sham condition. the total msaq scores, and central, peripheral and sopite msaq categorical scores were significantly lower after tavns compared to sham. these findings reveal for the first time the potential therapeutic role of tavns toward counter-motion sickness, and suggest that tavns may be reliable in alleviating symptoms of motion sickness in real-time, non-pharmacologically.clinical relevance- this suggests tavns potential to offset motion sickness-induced nausea; which may be of translational value to counter e.g., chemotherapy-induced nausea."
40,38082862,"analysis of heart rate variability (hrv) can reveal a range of useful information regarding the dynamics of the autonomic nervous system (ans). it is considered a robust and reliable tool to understand even some subtle changes in ans activity. here, we study the ""hidden"" characteristic changes in hrv during visually induced motion sickness; using nonlinear analytical methods, supplemented by conventional time- and frequency-domain analyses. we computed hrv from electrocardiograms (ecg) of 14 healthy participants measured at baseline and during nausea. primarily hypothesizing evident differences in measures of physiologic complexity (sampen; sample entropy, fuzzyen; fuzzy entropy), chaos (lle; largest lyapunov exponent) and poincaré/lorenz (csi; cardiac sympathetic activity, cvi; cardiac vagal index) between the two states. we found that during nausea, participants showed a markedly higher degree of regularity (sampen, p = 0.0275; fuzzyen, p = 0.0006), with a less chaotic ans response (lle, p = 0.0004). csi significantly increased during nausea compared to baseline (p = 0.0005), whereas cvi did not appear to be statistically different between the two states (p = 0.182). our findings suggest that motion sickness-induced ans perturbations may be quantifiable via nonlinear hrv indices. these findings have implications for understanding the malaise of motion sickness and in turn, aid development of therapeutic interventions to relieve motion sickness symptoms.clinical relevance- the study suggests potential indices of physiologic complexity and chaos that may be useful in monitoring motion sickness during clinical studies."
