,pubmed,abstract
10,38088118,myocardial bridging is congenital anomaly characterized by segment of epicardial coronary arteries passing through the myocardium. various ischemic conditions are related with this pathology. we report a case of myocardial bridging that was complicated with acute anterior myocardial infarction and a review of the literature. the patient was treated successfully with coronary bypass graft surgery after unsuccessful percutaneous intervention.
11,38088113,"aim      to evaluate 5-year results of the hrevs (hybrid revascularization versus standarts) study.material and methods  the study included 155 consecutive patients with multivessel coronary artery disease who were randomized into 3 groups: coronary artery bypass grafting (cabg) (n=50), hybrid coronary revascularization (hcr) (n=52) and percutaneous coronary intervention (pci) (n=53) according to the consensus of the cardiology team on the technical and clinical feasibility of each of the three coronary revascularization strategies. the primary endpoint of the study was residual ischemia 12 months after revascularization according to data of single-photon emission computed tomography (spect). secondary endpoints were major adverse cardiac and cerebrovascular events (macce) over 5 years of follow-up, which included all-cause death, myocardial infarction, stroke, and clinically determined repeat myocardial revascularization.results baseline characteristics of patients did not differ between study groups. median residual ischemia determined by spect data after 12 months was not statistically significantly different in the cabg, hcr and pci groups: 6.7 [4.6; 8.8]%, 6.4 [4.3; 8.5]% and 7.9 [5.9; 9.8]%, respectively (p=0.45). mean follow-up period was 76.5 months (at least 60 months). there were no statistically significant differences in all-cause mortality between the cabg, hcr and pci groups, 10.6, 12.8 and 8.2 %, respectively (p=0.23). statistically significant differences between the groups of cabg, hcr and pci in the incidence of myocardial infarction (12.8; 8.5 and 16.3 %; p=0.12), stroke (4.2; 6.4 and 10.2 % ; p=0.13), repeat revascularization for clinical indications (23.4; 23.4 and 34.7 %; p=0.11) were not observed either. however, the cumulative 5-year macce value was similar in the hcr group and the cabg group but significantly lower than in the pci group (51.1, 51.1 and 69.4 %, respectively; p = 0.03).conclusion      hcr that combines advantages of pci and cabg is a promising strategy for coronary revascularization in multivessel coronary artery disease. hcr demonstrates satisfactory long-term results comparable to those of cabg but superior to pci. to confirm the safety and efficacy of hcr, a large multicenter study is required that would have a sufficient power to evaluate clinical endpoints."
12,38088110,"aim    to determine clinical and laboratory parameters associated with in-hospital mortality in patients with acute myocardial infarction and to develop a multifactorial prognostic model of in-hospital mortality.material and methods    this was a study based on the 2019-2020 registry of acute coronary syndrome of the tyumen cardiology research center, a branch of the tomsk national research medical center. the study included 477 patients with st-segment elevation acute myocardial infarction (ami), 617 patients with non-st segment elevation ami, and 26 patients with unspecified ami. in-hospital mortality was 6.0 % (n=67). clinical and laboratory parameters were assessed on the day of admission. the separation power of indicators associated with in-hospital mortality was determined using a roc analysis. the data array of each quantitative parameter was converted into a binary variable according to the obtained cut-off thresholds, followed by creation of a multifactorial model for predicting in-hospital mortality using a stepwise analysis with backward inclusion (wald). the null hypothesis was rejected at p&lt;0.05.results    the multivariate model for prediction of in-hospital mortality included age (cut-off, 72 years), or 3.0 (95 % ci: 1.5-5.6); modified shock index (cut-off threshold, 0.87), or 1.5 (95 % ci: 1.1-2.0); creatine phosphokinase-mb (cut-off threshold, 32.8 u / l), or 4.1 (95 % ci: 2.2-7.7); hemoglobin (121.5 g / l), or 1.7 (95 % ci: 1.2-2.3); leukocytes (11.5×109 / l), or 1.9 (95 % ci: 1.3-2.6); glomerular filtration rate (60.9 ml / min), or 1.7 (95 % ci: 1.2-2.2); left ventricular ejection fraction (42.5 %), or 4.1 (95 % ci: 2.0-8.3); and size of myocardial asynergy (32.5 %), or 2.6 (95 % ci: 1.4-5.0).conclusions    independent predictors of in-hospital mortality in ami are age, modified shock index, creatine phosphokinase-mb, peripheral blood leukocyte count, hemoglobin concentration, left ventricular ejection fraction, size of myocardial asynergy, and glomerular filtration rate. the in-hospital mortality model had a high predictive potential: auc 0.930 (95 % ci: 0.905-0.954; p &lt;0.001) with a cutoff threshold of 0.15; sensitivity 0.851, and specificity 0.850."
13,38088075,"blow-out type left ventricular free wall rupture is a serious complication of acute myocardial infarction, that carries high hospital mortality rates and poor surgical outcome. we report the case of an 88-year-old woman who developed cardiac tamponade following percutaneous coronary angioplasty for acute myocardial infarction. she was diagnosed with left ventricular free wall rupture, and rupture type was proved to be blow out after median sternotomy. to address this critical condition, we opted for the sutureless technique for its minimally invasive nature and ability to preserve left ventricular function. the patient was discharged from the hospital without any complications 22 days after surgery. considering favorable, encouraging outcomes of this case, sutureless technique could be regarded as a viable option for blow-out type left ventricular free wall rupture."
14,38088046,"this study focused on investigating the mechanism of the astragaloside iv-induced bone marrow mesenchymal stem cell exosome (as-iv-msc-exo)/microrna(mir)-411/hif-1α axis in affecting vascular neovascularization and protecting cardiac function in myocardial infarction (mi) mice. exosomes (msc-exo and as-iv-msc-exo) were separated by differential centrifugation and then characterized. mi mouse models were established by left anterior descending coronary artery ligation. echocardiography was used to evaluate cardiac function. he staining and masson staining were performed to observe myocardial histopathology. capillary density in the myocardium via immunohistochemistry and quantified the expression of vascular endothelial growth factor (vegf) via rt-qpcr. the expression of mir-411 and hif-1α was tested by rt-qpcr and western blot and the targeting relationship of mir-411 and hif-1α was verified by bioinformatics website and dual luciferase reporter gene assay. exosomes with lipid bi-layer membrane structure, expressing exosomal surface marker proteins, and being taken up by cardiomyocytes could be successfully isolated utilizing ultracentrifugation. intramyocardial injection of msc-exo could restore cardiac function, decrease myocardial pathological changes and collagen deposition, and promote neovascularization in mi mice; the effect of as-iv-msc-exo was more significant. the ability of as-iv-msc-exo to restore cardiac function, lower myocardial pathological changes and collagen deposition, and promote neovascularization in mi mice was diminished when mir-411 expression in as-iv-msc-exo was reduced. mechanistically, mir-411 was found to target and inhibit hif-1α expression. overexpression of hif-1α impaired the impact of as-iv-msc-exo on improving cardiac function and promoting neovascularization in mi mice. as-iv-msc-exo improves cardiac function and promoted neovascularization via the mir-411/hif-1α axis, thereby ameliorating mi."
15,38087744,"hispanic patients disproportionally suffer from disparities in care delivery in the setting of acute myocardial infarction (ami). more specifically, hispanic patients have higher 30-day readmission rates post-ami and are less likely to be referred to cardiac rehab. because of the challenges hispanic patients face with post-ami care, the hispanic acute myocardial infarction discharge intervention study (hamidi) was launched to provide a culturally sensitive discharge framework to improve readmission and mortality rates in this population. patients enrolled in this study participate in a comprehensive post-discharge program involving follow-up with a spanish-speaking cardiologist, a two-part educational virtual group visit program, and access to support throughout the study. during the initial year of the study, 35 patients enrolled and successfully participated in the program. this case study reviews the implementation process, initial outcomes, challenges, and future plans of the program."
16,38087737,"the clinical benefits of transcatheter edge to edge mitral valve repair have been well established in patients with heart failure and severe mitral regurgitation (mr) who have prohibitive surgical risk. in march of 2019, the fda approved the mitraclip for treatment of selected patients with hf and severe secondary mr. however, the relative outcomes of patients with hfref and hfpef treated with mitraclip are largely unknown. we therefore sought to investigate the incidence and characteristics of in-hospital mortality in patients with hfpef and hfref following mitraclip."
17,38087681,"to investigate the association between pericoronary adipose tissue (pcat) attenuation (pcata) and outcomes of chronic total occlusion (cto) after percutaneous coronary intervention (pci), and to establish a clinical model that can be easily generalised to predict the outcomes of pci-cto."
18,38087288,"previous observational studies have documented an inverse association of birthweight with myocardial infarction (mi) but a positive association with atrial fibrillation (af). however, the causality of these associations and the underlying mediating pathways remain unclear. we aimed to investigate the causal effects of birthweight, incorporating both fetal and maternal genetic effects, on mi and af, and identify potential mediators in their respective pathways."
19,38088258,"iron deficiency (id) is common in patients with heart failure (hf) and is reportedly associated with exercise intolerance and impaired quality of life. iron supplementation therapy in hf patients with id improves exercise capacity. conversely, protective roles of iron depletion in the development of diabetes mellitus (dm) and its complications have been proposed. this study aimed to determine the impact of id on physical function in hf patients with and without dm."
20,38088117,iron deficiency (id) in patients with heart failure (hf) is a factor for unfavorable course and prognosis of the disease. the significance of id in the diagnosis and treatment of hf has previously been demonstrated by multiple studies and meta-analyses. therapy for id in patients with hf is one of the most relevant and discussed issues. the use of intravenous iron medicinal products for the treatment of id is currently being actively studied in patients of various categories; attempts are being made to specify the indications for use to produce the greatest effect on the prognosis and quality of life of hf patients.
21,38088111,"aim      to assess the tolerability of an individualized physical rehabilitation program (prp) in inotrope-dependent patients with end-stage chronic heart failure (chf).material and methods  this prospective randomized study included 120 men aged 18-65 years with left ventricular ejection fraction ≤30 % and blood pressure ≥90 / 60 mm hg. patients who have received dobutamine or dopamine for ≥2 weeks were randomized into two groups: group 1, 40 patients who participated in the prp and group 2, 40 patients who did not participate in the prp. group 3 included 40 patients without inotropic support who participated in the prp.results patients of groups 1 and 3 attended &gt;80 % of the scheduled classes without developing life-threatening adverse events (aes) associated with exercise (e). after 6 months of the study, the exercising patients achieved a comparable (average) e intensity: 44 [35; 50]% and 45 [40;52]% of heart rate reserve and borg scale scores 14 [12; 14] and 13 [11; 14] in groups 1 and 3, respectively (p&gt;0.05). initially, after 3 and 6 months at the peak of physical activity in groups 1 and 3, there was no decrease in arterial blood oxygen saturation according to pulse oximetry (spo2) &lt;93 %. at baseline, lactate levels in central venous blood at rest were normal in all groups. after 6 months, the lactate concentration was 1.1 mmol / l in group 1, 2.3 mmol / l in group 2, and 1.4 mmol / l in group 3 (р1-2=0.005; p2-3=0.008, respectively). at the e peak at baseline, after 3 and 6 months, comparable increases in lactate not exceeding 3 mmol / l were detected in groups 1 and 3.conclusion      the study allowed assessment of the tolerability of individualized prp performed at the aerobic level of energy supply, in inotropic-dependent patients with chf. individualized 6-month prp in inotropic-dependent patients with end-stage chf, provided safety criteria are met, is well tolerated and does not increase the number of aes associated with chf and physical rehabilitation (pr). continued inotropic support with dopamine or dobutamine should not be considered as a contraindication to pr in patients with chf in the absence of e intolerance or life-threatening aes."
22,38087340,"the ongoing coronavirus disease 2019 (covid-19) pandemic has had an enormous impact on our societies. moreover, the disease's extensive and sustained symptoms are now becoming a nonnegligible medical challenge. in this respect, data indicate that heart failure is one of the most common readmission diagnoses among covid-19 patients."
23,38087300,"prescribed fires often have ecological benefits, but their environmental health risks have been infrequently studied. we investigated associations between residing near a prescribed fire, wildfire smoke exposure, and heart failure (hf) patients' hospital utilization."
24,38087197,"this study aimed to identify and select age-related diseases (ards) in korea, which is about to have a super-aged society, and to elucidate patterns in their incidence rates."
25,38087179,"we define a ""flagship hospital"" as the largest academic hospital within a hospital referral region and a ""flagship system"" as a system that contains a flagship hospital and its affiliates. it is not known if patients admitted to an affiliate hospital, and not to its main flagship hospital, have better outcomes than those admitted to a hospital outside the flagship system but within the same hospital referral region."
26,38087174,the aim of this study was to compare the therapeutic effects of non-navigated freehand minimally invasive aspiration and conservative medical care in patients with deep supratentorial intracerebral hemorrhage (ich).
27,38088202,"implantable cardiac monitors (icms) primarily use r-r intervals in subcutaneous electrocardiograms (ecgs) to detect arrhythmias. therefore, reliable detection of r-wave amplitude by an icm is vital. since icms detect subcutaneous ecgs, the impact of the implantation depth should be assessed."
28,38087480,"a healthy man in his 50s was hospitalised after presenting with chest pain and dyspnoea. an echocardiogram revealed asymmetrical septal hypertrophy, leading to a diagnosis of hypertrophic cardiomyopathy. due to progressive conduction abnormalities during his hospitalisation, further evaluation was performed. cardiac mri revealed dense late gadolinium enhancement of the septum in the area of hypertrophy. additionally, fluorodeoxyglucose-positron emission tomography demonstrated increased uptake within the same region, suggestive of active inflammation. subsequent endomyocardial biopsy showed non-caseating granulomatous inflammation, consistent with cardiac sarcoidosis. treatment with prednisone and methotrexate was initiated, and an implantable cardioverter-defibrillator was placed following thorough risk stratification. this case highlights the importance of multimodality imaging and the pursuit of a tissue diagnosis in the evaluation of cardiomyopathy."
29,38087147,"several novel technologies allowing catheter ablation (ca) with a favorable safety/efficacy profile have been recently developed, but not yet extensively clinically tested in the setting of ventricular tachycardia ca."
30,38087028,"early identification of atrial fibrillation (af) can reduce the risk of stroke, heart failure, and other serious cardiovascular outcomes. however, paroxysmal af may not be detected even after a two-week continuous monitoring period. we developed a model to quantify the risk of near-term af in a two-week period, based on af-free ecg intervals of up to 24 h from 459,889 patch-based ambulatory single-lead ecg (modified lead ii) recordings of up to 14 days. a deep learning model was used to integrate ecg morphology data with demographic and heart rhythm features toward af prediction. observing a 1-day af-free ecg recording, the model with deep learning features produced the most accurate prediction of near-term af with an area under the curve auc = 0.80 (95% confidence interval, ci = 0.79-0.81), significantly improving discrimination compared to demographic metrics alone (auc 0.67; ci = 0.66-0.68). our model was able to predict incident af over a two-week time frame with high discrimination, based on af-free single-lead ecg recordings of various lengths. application of the model may enable a digital strategy for improving diagnostic capture of af by risk stratifying individuals with af-negative ambulatory monitoring for prolonged or recurrent monitoring, potentially leading to more rapid initiation of treatment."
31,38086717,"in view of the high incidence of malignant diseases such as malignant arrhythmias in the elderly population, accidental injuries such as falls, and the problem of no witnesses when danger occurs, the study developed a human vital signs and body posture monitoring and positioning alarm system. through the collection and analysis of electrocardiogram (ecg), respiration (resp) and acceleration (acc) signals, the system monitors human vital signs and body posture in real time, automatically judges critical states such as malignant arrhythmias and accidental falls on the local device side, and then issues alarm information, opens the positioning function, and uploads physiological information and patient location information through 4g communication. experiments have shown that the system can accurately determine the occurrence of ventricular fibrillation and falls, and issue position and alarm information."
32,38086455,"among kcnh2 missense loss of function (lof) variants, homozygosity -at any position in the kv11.1/herg channel - is very rare and generally leads to intrauterine death, while heterozygous variants in the pore are responsible for severe type 2 long-qt syndrome (lqts). we report a novel homozygous p.gly603ser missense variant in the pore of kv11.1/herg (kcnh2 c.1807g>a) discovered in the context of a severe lqts."
33,38085327,"over the last three decades, what is referred to as brugada syndrome (brs) has developed from a clinical observation of initially a few cases of sudden cardiac death (scd) in the absence of structural heart disease with ecg signs of ""atypical right bundle brunch block"" to a predominantly electrocardiographic, and to a lesser extent genetic, diagnosis. today, brs is diagnosed in patients without overt structural heart disease and a spontaneous brugada type 1 ecg pattern regardless of symptoms. the diagnosis of brs is less clear in those with an only transient or drug-induced type 1 brugada pattern, but should be considered in the presence of an arrhythmic syncope, family history of brs, or family history of sudden death. in addition to survived cardiac arrest, syncope is probably the single most decisive risk marker for future arrhythmias. for asymptomatic brs, risk stratification remains challenging. general recommendations to lower the risk in brs include avoidance of drugs/agents known to induce and/or increase right precordial st-segment elevation, including treatment of fever with antipyretic drugs. several ecg markers that have been associated with an increased risk of scd have been incorporated into a recently published risk score for brs. the aim of this article is to provide an overview of the status of risk stratification and to illustrate open issues und gaps in evidence in brs."
34,38085233,"in the aftermath of the coronavirus disease 2019 (covid-19) pandemic, we sought to explore the causal association between covid-19 and 17 prevalent post-covid-19 syndrome (pcs) symptoms using mendelian randomisation (mr) methodology."
35,38084258,"atrioventricular (av) block in pregnancy is rare, but it is a serious arrhythmia that needs to be carefully managed in pregnancy. however, as of now, there are no clear guidelines or consensus for intrapartum management. most of the time, an intrapartum av block is secondary to hypervagatonic sinus node dysfunction and is treated conservatively. hypervagatonic sinus node dysfunction has a heterogeneous presentation of av block, and pseudo-mobitz type ii in labor is rarely reported. we report a case of pseudo-mobitz type ii av block during pregnancy due to labor pain, which is successfully managed conservatively."
36,38088256,"oral anticoagulants (oacs) are the cornerstone of stroke prevention in atrial fibrillation (af), but prescribing decisions in older people are complicated. clinicians must assess the net clinical benefit of oac in the context of multiple chronic conditions, polypharmacy, frailty and life expectancy. the under-representation of high-risk, older adult sub-populations in clinical trials presents the challenge of choosing the right oac, where a 'one-size-fits-all' approach cannot be taken."
37,38088109,"aim    to identify independent predictors associated with in-hospital atrial fibrillation (af) following coronary artery bypass grafting (cabg).material and methods     the study included 80 patients (88.75 % men) who had elective cabg surgery at the sklifosovsky research institute of emergency medicine. based on the development of af during the hospital stage of treatment (up to 10 days after cabg surgery), patients were divided into two groups. the group with af consisted of 19 patients, and the group without af consisted of 61 patients. all patients underwent electrocardiography (ecg), transthoracic echocardiography (echocg) with calculation of the left ventricular (lv) geometry type, and assessment of operational indexes. during surgery, biopsy of a part of the right atrial (ra) appendage was taken from 61 patients to verify the severity of myocardial fibrosis on a four-score scale where 0 is no interstitial fibrosis, 1 is slight fibrosis, 2 is moderate fibrosis, and 3 is severe fibrosis.results    all included patients had a low risk of developing postoperative complications according to the euroscore ii scale. according to echocg data, patients with af had significantly higher ratios of left ventricular myocardial mass to body surface area (lvmm / bsa) (p = 0.0006) and of left atrial volume to body surface area (la volume / bsa), p = 0.008). the distribution of patients by type of lv geometry was as follows: in the group with af, 52.63 % (n=10) of patients were diagnosed with concentric lv hypertrophy (lvh) whereas in the group without af, the majority of patients (83.60 %, n=51) had normal lv geometry and concentric lv remodeling (lvr) (p&lt;0.0001). according to the results of histological study, patients of the af group more frequently had moderate and severe interstitial fibrosis in the af appendage (p = 0.003). after multivariate regression and roc analysis, the predictive value remained for concentric lvh (p=0.002), lvmm / bsa ratio ≥97 g / m2 (p=0.006), la volume / bsa ratio ≥ 34.4 ml / m2 (p=0.04), and for ra appendage interstitial fibrosis score ≥2 (p=0.004). based on the identified predictors, a regression model was developed to predict the development of af at the hospital stage after cabg (p&lt;0.0001). the sensitivity and specificity of the model were 86.67 % and 78.26 %, respectively.conclusion    in patients at low perioperative risk, the lvmm / bsa ratio ≥97 g / m2, the la volume ratio / bsa ≥34.4 ml / m2, a ra appendage interstitial fibrosis score ≥2, and the presence of lvh were independent predictors of the development of af at the hospital stage after cabg operation.conclusion in patients at low perioperative risk, a lvmm / bsa ratio ≥97 g / m2, a la volume / bsa ratio ≥34.4 ml / m2, a ra appendage interstitial fibrosis score ≥2, and the presence of lvh were independent predictors of the development of af at the hospital stage after cabg."
38,38088079,"a rare case of isolated right atrial thrombus under anticoagulant therapy for atrial fibrillation is reported herein. the patient was an 81-year-old man undergoing anticoagulant therapy with oral warfarin for atrial fibrillation. during preoperative screening for eye surgery, echocardiography revealed a mobile mass in the right atrium, and emergency hospital admission was indicated. excision of the right atrial thrombus was performed, and no residual thrombus was detected on postoperative imaging studies. this case was considered a good indication for surgical resection because of potential risk of fatal embolism."
39,38087145,"single-shot pulmonary vein isolation (pvi) utilizing cryothermal energy is an effective and safe treatment for atrial fibrillation (af) patients. a novel cryoballoon system, polarx™, has been recently introduced. the aim of this study was to compare the efficacy, safety, and biophysical parameters of pvi between the novel cryoballoon system, polarx™, and the standard cryoballoon system, arctic front advance pro™ (afa-pro), in patients with paroxysmal af."
40,38087071,"atrial fibrillation (af) is often accompanied by thyroid disease (thd). this study aimed to explore the relationship between thd and the occurrence of significant clinical outcomes in patients with af. this post hoc analysis utilized data from the misoac-af trial (nct02941978), which enrolled hospitalized patients with af. patients were categorized based on their thd history into hyperthyroidism, hypothyroidism, or euthyroidism. cox regression models were employed to calculate unadjusted and adjusted hazard ratios (ahrs). the primary outcomes of interest included all-cause mortality, cardiovascular death, and hospitalizations during the follow-up period. the study included 496 af patients (mean age 73.09 ± 11.10 years) with available thd data, who were followed-up for a median duration of 31 months. among them, 16 patients (3.2%) had hyperthyroidism, 141 (28.4%) had hypothyroidism, and 339 (68.4%) had no thyroid disease. patients with hypothyroidism exhibited higher rates of hospitalization during follow-up (ahr: 1.57, 95% ci 1.12 to 2.20, p = 0.025) compared to the euthyroid group. elevated levels of thyroid-stimulating hormone (tsh) were correlated with an increased risk of cardiovascular mortality (ahr: 1.03, 95% ci 1.01 to 1.05, p = 0.007) and hospitalizations (ahr: 1.06, 95% ci 1.01 to 1.12, p = 0.03). conversely, lower levels of triiodothyronine (t3) were associated with higher risks of all-cause mortality (ahr: 0.51, 95% ci 0.31 to 0.82, p = 0.006) and cardiovascular mortality (ahr: 0.42, 95% ci 0.23 to 0.77, p = 0.005). among patients with af, hypothyroidism was associated with increased hospitalizations. furthermore, elevated tsh levels and decreased t3 levels were linked to higher cardiovascular and all-cause mortality risks, respectively."
